condition,doc_id,final_delta,min_delta,exact_fp,approx_fp,fit_k,fit_c,fit_r2,len0,len_final,drift_final
D2_cross_model,abs_033,0.3537463976945245,0.31883901596892533,,,0.18911964318292618,0.18029301523797678,0.9371970961490926,757,9716,0.6420155096623238
D2_cross_model,abs_016,0.21572523417541867,0.21572523417541867,,,1.085656172273007,0.28916514838765994,0.6961203402892063,1358,10569,0.8031117070413971
D2_cross_model,abs_009,0.23282336578581364,0.16510162843218829,,,1.0852056830381616,0.24873175672052725,0.780319490638182,1910,10773,0.8422134956434951
D2_cross_model,abs_001,0.09995444191343963,0.09995444191343963,,,1.0077596250275531,0.20917249622021833,0.7969560508205813,1910,10975,0.8009780886907173
D2_cross_model,abs_000,0.2977285018929151,0.16187354620427152,,,1.121559118284591,0.22546497122911058,0.8819424315877841,1617,10946,0.832927787904109
D2_cross_model,abs_017,0.37101387858883356,0.24129513041243736,,,2.444457853418498,0.3423516484402493,0.784656349828552,1550,9439,0.7775915522284785
D2_cross_model,abs_041,0.3358104036955212,0.23721837088388215,,,1.2238659584445388,0.3633594768535763,0.7368523361337331,703,9958,0.6827498178204192
D2_framing_harsh,abs_040,0.44800796812749005,0.36641580432737536,,,19.99995633074221,0.43642362724168154,0.8054236197890734,1637,9983,0.691935741422939
D2_framing_harsh,abs_024,0.37653318903318905,0.20516177295679822,,,0.3501765475188347,0.26934060523437886,0.8084638011174443,920,11088,0.7445490210710699
D2_framing_harsh,abs_001,0.5647749921325921,0.3740406320541761,,,16.221430074760377,0.5176249013103534,0.3167453213682001,1910,9445,0.7419672236331725
D2_framing_harsh,abs_008,0.3825638084313163,0.3332377401778033,,,0.16953239308569124,0.2582865888967194,0.6519039506003421,1848,9372,0.841856901690606
D2_framing_harsh,abs_009,0.3489273225593044,0.33556786165355096,,,19.00290336352985,0.42398433980283096,0.5295392791773599,1910,10581,0.7169295539181075
D2_framing_harsh,abs_033,0.5423346693386774,0.28904024767801856,,,0.17668973475700234,0.24441776098529366,0.5758467361783689,757,7875,0.6668832041085835
D2_framing_harsh,abs_000,0.45476541131916687,0.3450733319562074,,,0.9676106890028752,0.43257773030034896,0.6818075840201374,1617,9506,0.7884382363280594
D2_framing_harsh,abs_032,0.3636779505946935,0.3636779505946935,,,0.06647845143098063,7.625339845159882e-14,0.507109897610532,1561,10930,0.6812690803680981
D2_framing_harsh,abs_016,0.37177227004044383,0.37177227004044383,,,0.7133296980458064,0.3882926930347662,0.8783007271941953,1358,9114,0.7427202145704431
D2_framing_harsh,abs_025,0.4949247779590357,0.35489766081871343,,,2.428685327771921,0.43271560134235565,0.5067992358588358,1852,10967,0.7462300256639057
D2_framing_harsh,abs_041,0.758863554971947,0.19885423297262889,,,2.4686066229428736,0.4815135421497066,0.3297525187483149,703,8377,0.7093682192457784
D2_framing_harsh,abs_017,0.29871068803470296,0.26756583172768145,,,0.05552099181342704,1.587784795435576e-10,0.2093910459739703,1550,8299,0.7490059485380658
D2_framing_lenient,abs_008,0.10729806683650532,0.10729806683650532,,,3.321227310089465,0.1941281817526824,0.6360270668566403,1848,6673,0.879167045999955
D2_framing_lenient,abs_025,0.16764064544265156,0.1660709726831759,,,0.7913389504688205,0.23200385083780184,0.5298904039954363,1852,11465,0.8427257988702205
D2_framing_lenient,abs_024,0.2869995056846268,0.22030651340996169,,,0.7884704949187219,0.27560642785081485,0.8861903246501899,920,10115,0.8101998428492923
D2_framing_lenient,abs_033,0.3093344074111368,0.20593601751611726,,,0.9737841681288293,0.3440048412315535,0.7077254604489034,757,9904,0.7676684427861942
D2_framing_lenient,abs_016,0.2685828495288855,0.1957961416642672,,,0.7089041049666952,0.24552366606449408,0.8429850176094601,1358,10507,0.8305902251990842
D2_framing_lenient,abs_009,0.189305012111049,0.10672268907563025,,,0.2266638999535076,0.10756251792642758,0.7507724405205896,1910,10734,0.8426442811274686
D2_framing_lenient,abs_032,0.2275084957968163,0.2275084957968163,,,0.6045620255168914,0.272029326629624,0.7860376188220811,1561,11175,0.7891814341102837
D2_framing_lenient,abs_000,0.3364138719512195,0.19233761182419293,,,0.7196089751696789,0.23880595675769237,0.7970917240412542,1617,10381,0.847111544159886
D2_framing_lenient,abs_001,0.27399024749286965,0.20342257797405466,,,0.49813077296715397,0.2403961768781973,0.7277778460932702,1910,10861,0.8313885802240492
D2_framing_lenient,abs_040,0.23620588808734647,0.15126932620729147,,,1.369629178275589,0.22262995605042338,0.9608835447803682,1637,10178,0.8383788754230195
